name,url,description,logo,category,subCategory,tags
ChatGPT,"https://chat.openai.com","由OpenAI开发的功能强大的通用对话模型，可用于内容创作、编码辅助、回答问题等。",,AI写作,常用,"官方,免费增值,对话"
Midjourney,"https://www.midjourney.com","顶级的AI图像生成器，通过文本提示创造出具有高度艺术性和细节的图片。",,AI绘画,常用,"高质量,付费,Discord"
Claude 3.5 Sonnet,"https://claude.ai","Anthropic开发的最新模型，在推理、编码和视觉方面表现出色，以高情商和安全性著称。",,AI写作,常用,"官方,免费增值,对话"
Stable Diffusion 3,"https://stability.ai","领先的开源文生图模型，图像质量和文本理解能力优秀，可供开发者自由部署和微调。",,AI绘画,探索,"开源,免费,技术"
Runway,"https://runwayml.com","专业的AI视频生成和编辑平台，提供文生视频、图生视频、视频到视频等多种强大功能。",,AI视频,常用,"视频生成,专业,付费"
Pika,"https://pika.art","易于上手的AI视频生成工具，因其出色的动态效果和创造力而广受欢迎。",,AI视频,探索,"热门,免费增值"
GitHub Copilot,"https://github.com/features/copilot","由GitHub和OpenAI共同开发的AI编程助手，可以在IDE中实时提供代码建议和自动补全。",,AI编程,常用,"官方,付费,效率"
ElevenLabs,"https://elevenlabs.io","提供非常逼真和富有情感的AI语音合成(TTS)和声音克隆服务。",,AI音频,专业,"语音合成,付费,高质量"
Notion AI,"https://www.notion.so/product/ai","集成在Notion笔记应用中的AI助手，可以帮助用户总结、写作、翻译和头脑风暴。",,AI写作,常用,"笔记,效率,集成"
Gamma,"https://gamma.app","使用AI快速生成精美演示文稿(PPT)、文档和网页，极大提升内容创作效率。",,AI办公,常用,"PPT,免费增值,自动化"
Perplexity AI,"https://www.perplexity.ai","一个对话式AI搜索引擎，它能提供带有引用来源的、总结性的答案。",,AI搜索,探索,"搜索引擎,免费增值,信息获取"
Hugging Face,"https://huggingface.co","全球最大的AI模型和数据集共享社区，是AI开发者和研究人员的宝库。",,AI平台,专业,"开源,社区,开发者"
Suno AI,"https://suno.com/","领先的AI音乐和歌曲生成工具，可以根据文本提示创作出包含人声和伴奏的完整歌曲。",,AI音频,探索,"音乐生成,免费增值,创意"
Kimi Chat,"https://kimi.moonshot.cn/","由月之暗面开发的国产大模型，以其超长的上下文窗口（可达200万字）处理能力而闻名。",,AI写作,常用,"国产,长文本,免费"
Cursor,"https://cursor.sh","一个为AI辅助编程而生的代码编辑器，深度集成了强大的AI功能，能极大提升开发效率。",,AI编程,探索,"开发者工具,免费增值,编辑器"
Tome,"https://tome.app","AI驱动的叙事和演示文稿创作平台，帮助用户快速将想法转化为视觉故事。",,AI办公,常用,"PPT,免费增值,故事化"
Phind,"https://www.phind.com","一个专门为开发者设计的AI搜索引擎，能提供精准的代码示例和技术解答。",,AI编程,专业,"搜索引擎,开发者,免费"
Luma AI Dream Machine,"https://lumalabs.ai/dream-machine","近期发布的超现实高质量AI视频生成模型，以其流畅性和物理一致性受到广泛关注。",,AI视频,探索,"热门,免费,高质量"
HeyGen,"https://www.heygen.com","专业的AI数字人与视频翻译平台，可以快速创建虚拟形象视频并进行多语言配音。",,AI视频,专业,"数字人,付费,营销"
Copy.ai,"https://www.copy.ai","一个专注于营销文案生成的AI写作平台，提供多种模板用于创作广告、博客和社交媒体内容。",,AI写作,专业,"营销文案,付费,自动化"
Jasper,"https://www.jasper.ai","企业级的AI内容创作平台，擅长生成符合品牌调性的高质量营销文案。",,AI写作,专业,"营销文案,付费,企业级"
Writesonic,"https://writesonic.com","多功能的AI写作助手，提供文章、广告、邮件等多种内容的生成和改写服务。",,AI写作,常用,"SEO,免费增值"
DeepL Write,"https://www.deepl.com/write","由知名翻译工具DeepL推出的AI写作润色工具，擅长提升文本的清晰度和专业性。",,AI写作,专业,"润色,免费增值"
Grammarly,"https://www.grammarly.com","知名的在线语法检查和写作辅助工具，其AI功能可以提供风格和语气的建议。",,AI写作,常用,"语法检查,免费增值"
Canva,"https://www.canva.com/ai-image-generator/","知名在线设计平台Canva集成的AI绘画功能，可以在设计流程中快速生成所需图片。",,AI绘画,常用,"设计,免费增值,集成"
Leonardo Ai,"https://leonardo.ai","一个功能丰富的AI艺术创作平台，提供多种模型和工具来生成游戏资产、概念艺术等。",,AI绘画,探索,"游戏资产,免费增值,社区"
Playground AI,"https://playground.com","一个强大且易于使用的在线AI图像编辑器和生成器。",,AI绘画,探索,"免费,社区"
Civitai,"https://civitai.com","一个大型的Stable Diffusion模型分享社区，用户可以下载和分享各种风格的模型。",,AI平台,专业,"模型分享,社区,免费"
Viggle,"https://viggle.ai","一个AI视频工具，可以用一张角色图片和一段动作视频，生成角色模仿该动作的视频。",,AI视频,探索,"角色动画,免费,Discord"
Descript,"https://www.descript.com","通过编辑文字稿来剪辑音视频的工具，其AI功能包括声音克隆、自动去口头禅等。",,AI音频,专业,"剪辑,播客,免费增值"
Adobe Podcast,"https://podcast.adobe.com","Adobe推出的免费AI音频处理工具，其“Enhance Speech”功能可以极大地提升录音质量。",,AI音频,常用,"降噪,免费,播客"
Udio,"https://www.udio.com","一个高质量的AI音乐生成平台，可以创作出非常逼真的歌曲和音乐片段。",,AI音频,探索,"音乐生成,免费,高质量"
Replicate,"https://replicate.com","一个让开发者可以轻松运行和微调开源AI模型的平台，提供了丰富的API接口。",,AI平台,专业,"API,开发者,付费"
Poe by Quora,"https://poe.com","一个集合了多种AI聊天机器人的平台，用户可以在一个应用里与GPT、Claude等多种模型对话。",,AI对话,常用,"免费增值,模型聚合"
Character.ai,"https://character.ai","允许用户创建并与各种虚拟角色（名人、动漫人物等）进行对话的AI平台。",,AI对话,探索,"角色扮演,免费"
Synthesia,"https://www.synthesia.io","领先的AI视频生成平台，专注于创建企业级的数字人讲解视频。",,AI视频,专业,"数字人,企业级,付费"
Murf.ai,"https://murf.ai","一个多功能的AI语音生成器，提供多种语言和声音风格，适用于视频、播客等场景。",,AI音频,专业,"语音合成,免费增值"
Firefly by Adobe,"https://firefly.adobe.com","Adobe推出的创意AI模型系列，深度集成在Photoshop、Illustrator等产品中。",,AI绘画,常用,"官方,集成,免费增值"
Looka,"https://looka.com","使用AI帮助用户设计品牌Logo和建立品牌识别系统。",,AI设计,专业,"Logo设计,付费"
Uizard,"https://uizard.io","一个AI驱动的UI设计工具，可以从手绘草图快速生成可编辑的UI设计稿和原型。",,AI设计,探索,"UI设计,免费增值,效率"
Spline,"https://spline.design","一个易于上手的3D设计工具，其AI功能可以帮助用户快速生成3D模型和纹理。",,AI设计,探索,"3D,免费增值"
Beautiful.ai,"https://www.beautiful.ai","一个使用AI来自动化演示文稿设计的平台，确保每一页都美观专业。",,AI办公,常用,"PPT,自动化,付费"
Taskade,"https://www.taskade.com","一个集成了AI功能的团队协作和项目管理工具，可以生成任务列表、思维导图等。",,AI办公,常用,"协作,项目管理,免费增值"
Tldraw,"https://www.tldraw.com","一个在线白板工具，其“Make It Real”功能可以将手绘草图快速转换成可用的网页代码。",,AI编程,探索,"原型,免费,开源"
v0 by Vercel,"https://v0.dev","一个由Vercel推出的实验性AI工具，可以通过文本提示生成基于React和Tailwind CSS的UI组件代码。",,AI编程,专业,"UI组件,React,开发者"
Tabnine,"https://www.tabnine.com","一个AI代码补全工具，支持多种编程语言和IDE，致力于提升开发者的编码速度。",,AI编程,常用,"代码补全,免费增值"
Codeium,"https://codeium.com","一个免费的AI编程助手，提供代码补全、聊天和搜索等功能，被视为Copilot的有力竞争者。",,AI编程,常用,"免费,代码补全"
You.com,"https://you.com","一个结合了传统搜索和AI聊天功能的搜索引擎。",,AI搜索,常用,"搜索引擎,免费"
Brave Search,"https://search.brave.com","Brave浏览器推出的搜索引擎，集成了AI摘要功能，注重用户隐私。",,AI搜索,探索,"隐私,免费"
Midjourney_zh,"https://www.midjourney.cn","Midjourney的中文官方合作伙伴，为中国用户提供更便捷的服务。",,AI绘画,常用,"官方,中文"
文心一格,"https://yige.baidu.com","百度推出的AI艺术和创意辅助平台，基于文心大模型。",,AI绘画,常用,"国产,免费增值"
通义万相,"https://wanxiang.aliyun.com","阿里巴巴推出的AI绘画创作模型，功能丰富。",,AI绘画,探索,"国产,免费增值"
文心一言,"https://yiyan.baidu.com","百度推出的基于文心大模型的对话式AI应用。",,AI写作,常用,"国产,免费增值"
通义千问,"https://tongyi.aliyun.com","阿里巴巴推出的超大规模语言模型，功能对标ChatGPT。",,AI写作,常用,"国产,免费增值"
豆包,"https://www.doubao.com","由字节跳动推出的AI对话助手，功能全面。",,AI对话,常用,"国产,免费"
讯飞星火,"https://xinghuo.xfyun.cn","科大讯飞推出的认知大模型，在语言理解和代码能力上表现出色。",,AI写作,探索,"国产,免费增值"
Gradio,"https://www.gradio.app","一个可以为你的AI模型快速创建Web交互界面的Python库，被Hugging Face收购。",,AI平台,专业,"开源,开发者,免费"
Llama 3,"https://llama.meta.com/","Meta推出的最新一代开源大语言模型，性能强大，广受开发者欢迎。",,AI平台,专业,"开源,模型,免费"
Gemini,"https://gemini.google.com","Google推出的多模态AI模型，能够理解和处理文本、图片、音频和视频等多种信息。",,AI写作,常用,"官方,多模态,免费增值"
Sora,"https://openai.com/sora","OpenAI发布的文生视频大模型，因其生成的视频质量和时长而引起轰动。",,AI视频,探索,"官方,未开放,高质量"
RunwayML,"https://runwayml.com/","一个面向创作者的AI工具平台，提供了超过30种AI魔法工具。",,AI平台,专业,"创意,视频,付费"
Kaiber,"https://kaiber.ai","一个AI创意平台，可以将图片或文字转换成富有想象力的视频。",,AI视频,探索,"视频生成,免费增值"
D-ID,"https://www.d-id.com","一个可以将静态照片转换成会说话的动态视频的AI平台。",,AI视频,专业,"数字人,付费"
Invideo AI,"https://invideo.io/ai/","一个AI视频创作助手，可以根据文本提示自动完成脚本、素材、配音和剪辑。",,AI视频,常用,"自动化,免费增值"
Vidyo.ai,"https://vidyo.ai","一个可以将长视频（如播客、访谈）自动剪辑成多个病毒式短视频的AI工具。",,AI视频,专业,"短视频,剪辑,付费"
Opus Clip,"https://www.opus.pro/","与Vidyo.ai类似，利用AI将长视频高效地转化为多个适合社交媒体的短片。",,AI视频,专业,"短视频,剪辑,免费增值"
Jasper Art,"https://www.jasper.ai/art","知名AI写作工具Jasper推出的AI绘画功能。",,AI绘画,专业,"集成,付费"
NightCafe Creator,"https://creator.nightcafe.studio","一个流行的AI艺术生成器，提供多种算法和社区功能。",,AI绘画,探索,"社区,免费增值"
Artbreeder,"https://www.artbreeder.com","一个独特的AI艺术工具，可以通过混合和演化图片来创造新的图像。",,AI绘画,探索,"创意,免费增值"
DeepArt.io,"https://deepart.io","一个可以将你的照片转换成名画风格的AI艺术生成器。",,AI绘画,探索,"风格转换,付费"
Clipdrop,"https://clipdrop.co","由Stability AI收购的一系列AI图片编辑工具，包括移除背景、移除物体、提升分辨率等。",,AI设计,常用,"图片编辑,免费增值"
Remove.bg,"https://www.remove.bg","一个非常知名的在线AI工具，可以快速、自动地移除图片背景。",,AI设计,常用,"抠图,免费增值"
Figma,"https://www.figma.com","主流的UI设计工具，其插件和社区资源中包含了大量AI功能，如AI内容填充、布局生成等。",,AI设计,常用,"UI设计,集成"
Khroma,"https://www.khroma.co","一个为设计师打造的AI配色工具，可以根据你的偏好生成无限的调色板。",,AI设计,探索,"配色,免费,设计师"
Autodraw,"https://www.autodraw.com","Google推出的一个AI绘画工具，可以识别你的涂鸦并将其转换成精美的插图。",,AI绘画,常用,"免费,趣味"
LALAL.AI,"https://www.lalal.ai","一个高质量的AI音轨分离工具，可以将音乐中的人声、伴奏、鼓点等分离出来。",,AI音频,专业,"音轨分离,付费"
AIVA,"https://www.aiva.ai","一个AI音乐创作助手，可以创作出多种风格的背景音乐和原声配乐。",,AI音频,探索,"配乐,免费增值"
Amper Music,"https://www.ampermusic.com","一个AI音乐创作平台，旨在为内容创作者快速生成免版税的定制音乐。",,AI音频,专业,"免版税,付费"
Otter.ai,"https://otter.ai","一个AI会议助手，可以实时转录会议内容，并自动生成摘要和关键词。",,AI办公,常用,"会议纪要,转录,免费增值"
Fireflies.ai,"https://fireflies.ai","另一个流行的AI会议助手，可以集成到Zoom、Google Meet等平台，自动记录和分析会议。",,AI办公,常用,"会议纪要,集成,免费增值"
SlidesAI.io,"https://www.slidesai.io","一个AI演示文稿制作工具，可以直接从文本快速生成演示幻灯片。",,AI办公,探索,"PPT,免费增值"
Miro,"https://miro.com/ai/","知名的在线协作白板工具Miro推出的AI功能，可以帮助团队进行头脑风暴、总结和图表生成。",,AI办公,常用,"协作,白板,集成"
ClickUp,"https://clickup.com/ai","一个项目管理工具，其AI功能可以帮助用户撰写任务更新、总结评论和生成项目报告。",,AI办公,常用,"项目管理,集成"
Zapier,"https://zapier.com/ai","知名的自动化工作流平台Zapier集成的AI功能，可以帮助用户创建更智能的自动化流程。",,AI办公,专业,"自动化,集成"
Bard (now Gemini),"https://gemini.google.com","Google Bard已更名为Gemini，是Google对标ChatGPT的核心AI对话产品。",,AI对话,常用,"官方,免费增值"
Grok,"https://grok.x.ai","由xAI (Elon Musk的公司) 开发的AI模型，以其幽默感和实时访问X(Twitter)信息的能力为特点。",,AI对话,探索,"实时信息,付费"
ChatGPT 4o,"https://openai.com","OpenAI最新发布的多模态模型，o代表omni(全能)，在速度和成本上进行了优化，并增强了语音和视觉能力。",,AI写作,常用,"官方,多模态"
DALL-E 3,"https://openai.com/dall-e-3","集成在ChatGPT Plus和Copilot中的最新图像生成模型，对自然语言的理解非常出色。",,AI绘画,常用,"官方,集成"
MusicFX,"https://aidemos.google/musicfx/","Google AI Test Kitchen中的一个实验性AI音乐生成工具。",,AI音频,探索,"免费,实验性"
ImageFX,"https://aitestkitchen.withgoogle.com/tools/image-fx","Google推出的AI图片生成工具，注重于提供创意的提示词建议。",,AI绘画,探索,"免费,实验性"
